x1,x2,y
aam,ipse,0
aaron,sudden,0
abaca,crosscurrent,0
abandoned,trocars,0
abandoners,cycler,0
abandonment,paradoxically,0
abas,chop,0
abased,hunch,0
abasing,hermeneutical,0
abated,begin,0
abattoir,cabbage,0
abba,curiously,0
abbey,thrives,0
abbreviate,kaftan,0
abbreviation,spaced,0
abd,swillers,0
abdicate,syncline,0
abdication,reciprocation,0
abdomens,pattering,0
abdominally,conceals,0
abdominals,strippers,0
abduct,underlines,0
abducted,prima,0
abductor,fruitlets,0
abe,eiders,0
abeyance,anticipation,0
aberrantly,transiently,0
abet,handstands,0
abetter,wordlessly,0
abettor,imagination,0
abhor,traders,0
abides,demarked,0
abidingly,vocalizes,0
ability,atomicity,0
abiotic,washy,0
abysmally,conjuncture,0
abject,coney,0
abjure,bigoted,0
abjured,reggae,0
ablated,culturist,0
ablation,morepork,0
ablative,wearied,0
ably,heeding,0
abn,precedential,0
abnormals,showgirl,0
abode,porpoising,0
abolish,riparian,0
abolition,goosefoot,0
abolitionism,damselfish,0
abominate,contemporaneity,0
abord,ocotillo,0
aborning,piccaninnies,0
aborted,tex,0
aborting,hornier,0
abortion,aborad,0
abortionist,telescoping,0
abortions,beggars,0
abortive,mucilage,0
aborts,comfort,0
abortus,houbara,0
abound,doxycycline,0
abounding,biking,0
abounds,unirrigated,0
above,hireling,0
abrades,monopsony,0
abrasion,sitcoms,0
abrasive,disbarred,0
abrasiveness,bushranger,0
abrasives,quakes,0
abreast,abolitionism,0
abridge,preannounced,0
abridgement,expiated,0
abridgment,judgeships,0
abroad,tractate,0
abrogation,electrolytically,0
abrupt,believer,0
abscess,reservationist,0
abscessed,bureaucratism,0
abscesses,dk,0
absconded,rattly,0
absent,physiognomy,0
absented,praised,0
absently,turbocharge,0
absents,impairment,0
absinthium,warbler,0
absolute,affianced,0
absolutely,eudialyte,0
absorb,engendered,0
absorbable,hectors,0
absorbers,disciple,0
absorbing,proliferates,0
absorptions,tem,0
abstain,dome,0
abstained,distention,0
