x1,x2
obstinate,firm
pigheaded,obstinate
pigheaded,firm 
attack,defend
attack,counterattack
attack,retaliation
bombard,attack
beg,ask
demand,ask
hardliner,conservative
hardliner,rightwing
protest,demonstration
riot,protest
riot,demonstration
harass,probe
terrorist,activist
terrorist,protestor
terrorist,revolutionary
slam,disagree
ultraconservative,conservative
ultraconservative,rightwing
leftwing,progressive
leftwing,activist
disrupt,protest
disruption,demonstration
antiabortion,prolife
diplomatic,polite
dictator,leader
murderer,dictator
despot,dictator
despot,leader
murderer,despot
murderer,revolutionist
agitator,revolutionist
rebel,revolutionist
lazy,easygoing
slovenly,easygoing
slovenly,lazy
gourmand,epicure
glutton,gourmand
glutton,overeater
overeater,epicure
tight,thrifty
stingy,tight
stingy,thrifty
stingy,eco0mical
stingy,forehanded
miserly,eco0mical
parsimonious,eco0mical
illiberal,forehanded
pedant,stickler
pedant,perfectionist
nitpicker,perfectionist
nitpicker,disciplinarian
cleared,vindicated
whitewashed,vindicated
whitewashed,cleared
ogle,eye
perv,ogle
perv,eye
ogle,observe
perv,observe 
seduce,charm
harass,seduce
rape,harass
rape,seduce
overstate,enhance
falsify,overstate
falsify,enhance
overstate,elaborate
overdo,elaborate
overdo,enhance
eccentric,liberated
eccentric,individualistic
strange,liberated
strange,individualistic
weird,liberated
weird,individualistic
weird,unconventional 
freak,ecentric
freak,strange
freak,weird
crazy,eccentric
crazy,strange
crazy,weird
wild,eccentric
wild,strange
wild,weird
crazy,liberated
crazy,individualistic
crazy,unconventional 
wild,liberated
wild,individualistic
wild,unconventional 
freak,liberated
freak,individualistic
freak,unconventional 
thrash,criticize
slam,criticize
roast,criticize
blame,question
smack,probe
hit,question
illegal,undocumented
nail,catch
nail,arrest
insincerity,duplicity
hypocrisy,insincerity
hypocrisy,duplicity
rip,grab
revolution,demonstration
snitch,whistleblower
tattletale,whistleblower
fink,whistleblower
snitch,informer
snitch,informant
snitch,source
tattletale,informer
tattletale,informant
tattletale,source
snitch,tipster
tattletale,tipster
fink,tipster
an0yed,indignant
mad,an0yed
changed,reconsidered
renege,reconsidered
welsh,reconsidered
welsh,changed
renege,changed
talkative,exuberant
drunk,talkative
drunk,exuberant
talkative,energetic
drunk,energetic
talkative,sparkling
drunk,sparkling
drunkard,exuberant
drunkard,talkative
drunkard,energetic
drunkard,sparkling
drunk,conversational
drunkard,conversational
conversational,energetic
conversational,exuberant
conversational,sparkling
uncontrollable,lively
wild,lively
chaotic,lively
crowded,lively
wild,crowded
chaotic,crowded
uncontrollable,crowded
uncontrollable,buzzing
wild,buzzing
chaotic,buzzing
crowded,buzzing
fondle,touch 
grope,touch 
grope,fondle
repeat,highlight
repeat,talk
simper,charm
gushes,simper
gushes,charm
befuddled,amusing
bohemian,artistic
freak,bohemian
freak,artistic
risqué,plunging
risqué,inelegant
risqué,décolleté
provocative,plunging
provocative,inelegant
provocative,décolleté
filthy,plunging
filthy,inelegant
filthy,décolleté
tarty,plunging
tarty,inelegant
tarty,décolleté
tarty,risqué
sob,whimper
sob,snivel
blubber,sob
blubber,whimper
blubber,snivel
libidi0us,affectionate
interfering,concerned
interfering,attentive
intrusive,attentive
intrusive,concerned
snooping,attentive
snooping,concerned
meddlesome,attentive
meddlesome,concerned
fat,oversize
stall,procrastinate
stall,temporize
daydreamer,dreamer
fantasizer,dreamer
daydreamer,theorizer
daydreamer,visionary
matrix,confusion
stall,dreamer
oversize,attentive
beg,fat
probe,rightwing
obstinate,revolutionary
prolife,firm
fat,polite
overeater,activist
lazy,economical
agitator,lazy
harass,strange
overstate,weird
lazy,arrest
nail,ploite
nail,revolutionary
hit,catch
snitch,activist
tattletale,grab
welshed,annoyed
changed,exuberant
strange,drunk
life,crowded
life,lively
street,road
town,city
bohemian,décolleté
artistic,talkative
city,freak
sob,tarty
dreamer,filthy
boring,liberated
control,firm
artistic,obstinate
light,firm 
stingy,defend
intrusive,counterattack
snooping,retaliation
ran,attack
laugh,ask
cry,ask
social,conservative
social,rightwing
family,demonstration
video,protest
fast,demonstration
tight,probe
economical,activist
student,protestor
student,revolutionary
observe,disagree
pedant,conservative
white,rightwing
white,progressive
comic,activist
crowd,protest
crowd,demonstration
undocumented,prolife
undocumented,polite
person,leader
human,dictator
man,dictator
war,leader
animal,despot
strange,revolutionist
tattletale,revolutionist
fink,revolutionist
source,easygoing
informant,easygoing
rightwing,lazy
rightwing,epicure
rightwing,gourmand
leftwing,overeater
human,epicure
man,thrifty
light,tight
heavy,thrifty
doctor,economical
changed,forehanded
talkative,economical
sparkling,economical
charming,forehanded
slow,stickler
chatty,perfectionist
,perfectionist
uncontrollable,disciplinarian
fooled,vindicated
requested,vindicated
whitewashed,cleared
smile,eye
smile,ogle
cry,eye
laugh,observe
laugh,observe 
sourced,charmed
run,seduce
walk,harass
escape,seduce
write,enhance
run,overstate
walk,enhance
escape,elaborate
cry,elaborate
work,enhance
flying,liberated
drunk,individualistic
pigheaded,liberated
stubborn,individualistic
recalcitrant,liberated
informant,individualistic
persistent,unconventional 
theorizer,eccentric
enhance,strange
elaborate,weird
walk,eccentric
stubborn,strange
niggardly,weird
slovenly,eccentric
disordered,strange
relaxed,weird
gourmet,liberated
gourmand,individualistic
gourmand,unconventional 
perfectionist,liberated
prudent,individualistic
stingy,unconventional 
pedant,liberated
,individualistic
polite,unconventional 
eye,criticize
falsify,criticize
alter,criticize
strengthen,question
mesmerize,probe
hound,question
parsimonious,undocumented
fasify,catch
rightwing,arrest
disruption,duplicity
politeness,insincerity
demonstration,duplicity
overstate,grab
question,demonstration
undocumented,whistleblower
engineer,whistleblower
lawyer,whistleblower
critic,informer
lively,informant
chaotic,source
drunkard,informer
buzzing,informant
control,source
admin,tipster
energetic,tipster
indignant,tipster
tipster,indignant
insincere,annoyed
fondle,reconsidered
chatted,reconsidered
laughed,reconsidered
cried,changed
talkative,changed
concerned,exuberant
oversize,talkative
fat,exuberant
meddlesome,energetic
stalling,energetic
fantasizer,sparkling
miserly,sparkling
crazy,exuberant
freak,talkative
intrusive,energetic
intrusive,sparkling
crazy,conversational
nuts,conversational
pleading,energetic
begging,exuberant
conservative,sparkling
defensive,lively
pigheaded,lively
riot,lively
investigating,lively
individualistic,crowded
defensive,crowded
pigheaded,crowded
riot,buzzing
investigating,buzzing
hitting,buzzing
concerned,buzzing
stand,coat
chair,table
blind,window
television,laptop
talk,clap
covered,insisted
choice,random
