,0,1,2,3,4,5,6,7,8,9,word
0,"('disagree', 0.9920983910560608)","('agree', 0.7559741139411926)","('disagreed', 0.7227152585983276)","('disagreeing', 0.7202147841453552)","('concur', 0.6864355802536011)","('respectfully_disagree', 0.6838981509208679)","('disagrees', 0.668004035949707)","('vehemently_disagree', 0.6257485151290894)","('sympathize', 0.5967000126838684)","('disgree', 0.5809329152107239)",disagree
0,"('demonstration', 0.992254912853241)","('demonstrations', 0.7465490102767944)","('Demonstration', 0.6252762675285339)","('Demonstrations', 0.6157495975494385)","('demostration', 0.6014447212219238)","('demonstrator', 0.591382622718811)","('protest', 0.5748723149299622)","('demonstrating', 0.5726221203804016)","('demonstation', 0.5458614826202393)","('paperbacks_churned', 0.522323489189148)",demonstration
0,"('prolife', 0.9923416376113892)","('antiabortion', 0.7174611687660217)","('prochoice', 0.691986083984375)","('pro_lifers', 0.6559897065162659)","('abortion', 0.6305501461029053)","('antichoice', 0.6147305965423584)","('pro_lifer', 0.610745906829834)","('pro_abortionists', 0.5983676910400391)","('pro_choicers', 0.5947574377059937)","('anti_choicers', 0.5901875495910645)",prolife
0,"('leader', 0.9920799732208252)","('leadership', 0.5589262247085571)","('Leader', 0.5505585670471191)","('leaders', 0.5417376756668091)","('premier', 0.48826590180397034)","('president', 0.46175044775009155)","('parliamentarian', 0.4425310790538788)","('standard_bearer', 0.43651771545410156)","('leading', 0.43140316009521484)","('SIR_Menzies_Campbell', 0.4279301166534424)",leader
0,"('dictator', 0.9927152991294861)","('despot', 0.7934576272964478)","('tyrant', 0.7711451053619385)","('dictatorship', 0.6958483457565308)","('dictators', 0.6956347823143005)","('strongman', 0.6527001857757568)","('dictatorial_regime', 0.6512426733970642)","('despots', 0.6441644430160522)","('brutal_dictator', 0.6356315612792969)","('despotic_regime', 0.633046567440033)",dictator
0,"('dictator', 0.9927152991294861)","('despot', 0.7934576272964478)","('tyrant', 0.7711451053619385)","('dictatorship', 0.6958483457565308)","('dictators', 0.6956347823143005)","('strongman', 0.6527001857757568)","('dictatorial_regime', 0.6512426733970642)","('despots', 0.6441644430160522)","('brutal_dictator', 0.6356315612792969)","('despotic_regime', 0.633046567440033)",dictator
0,"('leader', 0.9920799732208252)","('leadership', 0.5589262247085571)","('Leader', 0.5505585670471191)","('leaders', 0.5417376756668091)","('premier', 0.48826590180397034)","('president', 0.46175044775009155)","('parliamentarian', 0.4425310790538788)","('standard_bearer', 0.43651771545410156)","('leading', 0.43140316009521484)","('SIR_Menzies_Campbell', 0.4279301166534424)",leader
0,"('despot', 0.9934080839157104)","('tyrant', 0.7803430557250977)","('dictator', 0.7652619481086731)","('despots', 0.6968860626220703)","('bloodthirsty_tyrant', 0.6623937487602234)","('despotic_ruler', 0.6487683057785034)","('dictators', 0.6424236297607422)","('autocrat', 0.6383117437362671)","('despotic', 0.627532958984375)","('tyrants', 0.6136252284049988)",despot
0,"('easygoing', 0.992029070854187)","('affable', 0.731205940246582)","('gregarious', 0.7255491614341736)","('amiable', 0.6792937517166138)","('genial', 0.6626125574111938)","('jovial', 0.6596430540084839)","('personable', 0.649638295173645)","('laidback', 0.6297374963760376)","('soft_spoken', 0.622644305229187)","('demeanor', 0.6171514391899109)",easygoing
0,"('easygoing', 0.992029070854187)","('affable', 0.731205940246582)","('gregarious', 0.7255491614341736)","('amiable', 0.6792937517166138)","('genial', 0.6626125574111938)","('jovial', 0.6596430540084839)","('personable', 0.649638295173645)","('laidback', 0.6297374963760376)","('soft_spoken', 0.622644305229187)","('demeanor', 0.6171514391899109)",easygoing
